,Date,ID,Tweet,word_count,char_count,stopwords,hastags,numerics,upper,sentiment,Polarity_Rating
0,23/03/2020 02:30,1.38e+18,support ud83dudc47nnfarmersprotest,3,40,0,0,0,0,0.0,Neutral
1,24/03/2020 02:31,1.38e+18,supporting mean supporting country httpstcoiwpattk6nv,10,112,1,2,0,0,0.0625,Positive
2,25/03/2020 02:31,1.38e+18,support related food httpstcotcozx4zmyu,12,107,4,2,0,0,0.0,Neutral
3,26/03/2020 02:32,1.38e+18,support pressurising got accept genuine demand,12,104,2,2,0,0,0.4,Positive
4,27/03/2020 02:32,1.38e+18,hate hate nif love love you! nnstophateagainstfarmers,17,109,2,0,0,2,-0.11875000000000002,Negative
5,28/03/2020 02:32,1.38e+18,cant look like gundas good time seem violence thirsty goon httpstco6kfjpx2mx0,21,143,5,1,0,0,0.7,Positive
6,29/03/2020 02:33,1.38e+18,let forget still protesting nplease pray httpstcobp95cpmftd,19,132,7,0,0,1,0.0,Neutral
7,30/03/2020 02:33,1.38e+18,troll48611422 doabapunjab1 terminator00096 harjask1 _theshivatribe_ arshdee00485709 tamankaur_ sukhisukhii walterw28442171 amaanbali thats best comeback ud83dude02 lol word could understand u201cyou201d oh mynnd eef r u tell language talk nu lil piece ud83dudca9 httpstco3u0cg5xykq,52,417,16,1,0,0,0.9,Positive
8,31/03/2020 02:33,1.38e+18,neutrality help oppressor never victim nnsilence encourages tormentor never tormentednnspeak farmersnnfarmersprotestnn 032809,20,164,6,0,0,0,0.037500000000000006,Positive
9,01/04/2020 02:34,1.38e+18,visit tikri border least nnstophateagainstfarmers nnhttpstcogs8glaynfe via thewire_in,18,158,3,0,0,1,-0.3,Negative
10,02/04/2020 02:34,1.38e+18,stop asking god bless youre find god already blessednnfarmersprotest nnstophateagainstfarmers httpstcogw0nsfbdk6,20,165,5,0,0,0,0.0,Neutral
11,03/04/2020 02:34,1.38e+18,great read gain better understanding religious angle modi govnt godi medium given farmersprotestnnthis turn something positive honest dirty politicsnnstophateagainstfarmersnfarmersprotest httpstco58t0vnbg90,34,270,12,1,0,1,0.2545454545454546,Positive
12,04/04/2020 02:35,1.38e+18,u0939u094bu0932u0940_u0915u0947_u0930u0902u0917_u0915u093fu0938u093eu0928u094bu0902_u0915u0947_u0938u0902u0917 modilies modi deserves thrown government parliament dissolved done nothing positive people india,29,301,12,3,0,1,0.22727272727272727,Positive
13,05/04/2020 02:35,1.38e+18,iaminnocentkid yogi raaz,3,25,0,0,0,0,0.0,Neutral
14,06/04/2020 02:36,1.38e+18,start love farmersnstop hate farmersnstophateagainstfarmersnfarmersprotest,8,94,0,0,0,0,-0.15000000000000002,Negative
15,07/04/2020 02:36,1.38e+18,love picture nstophateagainstfarmersnfarmersprotest httpstcomi3yyn5an7,6,84,1,0,0,0,0.5,Positive
16,08/04/2020 02:36,1.38e+18,much suffering sikh organisation also help kisanektamorcha khalsaaid_india httpstcoj0du60kra5,14,134,2,1,0,0,0.2,Positive
17,09/04/2020 02:37,1.38e+18,true defination hardworking f u2013 fearlessness u2013 assertion r u2013 resolve u2013 morality e u2013 empathy r u2013 righteousness u0938u0930u0915u093eu0930_msp_u0915u0947u0902u0926u094du0930_u0916u094bu0932u094b httpstcowo7kpf4nng,30,326,2,3,0,6,0.35,Positive
18,10/04/2020 02:37,1.38e+18,dil_di_awaz dont understand somebody hate farmersnthey r selfless peoplenstophateagainstfarmersnfarmersprotest,14,134,4,0,0,0,-0.8,Negative
19,11/04/2020 02:37,1.38e+18,instead listening want govt trying everything suppress voice govt trying hide! httpstcobdkdkji1wy,32,218,12,2,0,0,0.0,Neutral
20,12/04/2020 02:38,1.38e+18,caption needed pic! u0938u0930u0915u093eu0930_msp_u0915u0947u0902u0926u094du0930_u0916u094bu0932u094b httpstcortuh5mwbu9,11,194,2,3,0,0,0.0,Neutral
21,13/04/2020 02:38,1.38e+18,everything provide family grow food family donu2019t think deserve respect donu2019t deserve decent living canu2019t ask govt repeal farm bill httpstcokjmmavuk5b,46,318,20,2,0,0,0.16666666666666666,Positive
22,14/04/2020 02:39,1.38e+18,caption needed pic!nu0938u0930u0915u093eu0930_msp_u0915u0947u0902u0926u094du0930_u0916u094bu0932u094bnstophateagainstfarmersnfarmersprotest httpstcobw4lsppv70,8,197,2,0,0,0,0.0,Neutral
23,15/04/2020 02:39,1.38e+18,fighting right httpstcosrtjy4whqq,9,98,2,2,0,0,0.2857142857142857,Positive
24,16/04/2020 02:39,1.38e+18,population india depends depends food nfarmers also contribute national income upon farming httpstcoux3kmz2kx5,34,218,11,2,0,0,0.0,Neutral
25,17/04/2020 02:40,1.38e+18,word street support world httpstcommehxkpnht,14,99,5,1,0,0,0.0,Neutral
26,18/04/2020 02:40,1.38e+18,letu2019s stand elder show world accomplish different generation work nnstophateagainstfarmersnfarmersprotest gobackmodinsushant_says ramandhaka monikasinghsays httpstcot95wrzehmc,24,244,7,1,0,0,0.0,Neutral
27,19/04/2020 02:40,1.38e+18,asking whatu2019s rightfully theirsu2014repeal farm bill bill passed without debate discussion impacted canu2019t ask repeal didnu2019t want begin httpstcozfjpax45wn,45,320,20,2,0,0,0.0,Neutral
28,20/04/2020 02:41,1.38e+18,jasdhaliwal349 love bronfarmersprotestnstophateagainstfarmers httpstcozofkoeflf6,7,99,2,0,0,0,0.5,Positive
29,21/04/2020 02:41,1.38e+18,modi want make easy money selling corporate goon thrown sikh v hindu virus mixture distract people focusing real shit trying pullnnstophateagainstfarmersnfarmersprotest httpstcoom8ypngybe,43,278,18,0,0,1,0.04444444444444443,Positive
30,22/04/2020 02:41,1.38e+18,farm law religion political party except ruling party wich ignoring interest corporates,27,187,11,2,0,0,0.0,Neutral
31,23/04/2020 02:42,1.38e+18,hindu mla stripped naked beaten brutally congress ruled punjab called farmersprotestnnimagine happened sikh muslim mla individual ruled statenni know cant even imagine thatnndesh jal gaya hota,46,280,16,5,0,4,-0.2916666666666667,Negative
32,24/04/2020 02:42,1.38e+18,ikaur_deep it!nstophateagainstfarmers humanrightsndesh_ka_gaddar_rssnu0926u0947u0936_u0935u093fu0930u094bu0927u0940_u0938u0902u0918u091fu0928_rss,7,189,0,2,0,0,0.0,Neutral
33,25/04/2020 02:43,1.38e+18,trending 4 4712 tweetsplease keep posting support let make no1 httpstcovcef765jzf,23,176,7,2,2,0,0.0,Neutral
34,26/04/2020 02:43,1.38e+18,dictatorship grows people bring revolution u0938u0930u0915u093eu0930_msp_u0915u0947u0902u0926u094du0930_u0916u094bu0932u094b httpstcowifmughs8l,15,229,5,3,0,0,0.0,Neutral
35,27/04/2020 02:43,1.38e+18,r paid khalistani terrorist real r hard working working khetkhaliyan,17,139,4,3,0,0,-0.4375,Negative
36,28/04/2020 02:44,1.38e+18,dear bhakts much guy mad patient httpstcoiittfrxygh,20,142,9,2,0,0,-0.2125,Negative
37,29/04/2020 02:44,1.38e+18,stop hating nation builder go back observe period corona agriculture sector railed national economy track people hate think united stand win httpstco7il1ud1lnx,42,286,11,2,0,4,0.0,Neutral
38,30/04/2020 02:44,1.38e+18,fascist regime godimedia working tandem propaganda derail hate propaganda need stopped nud835uddeaud835uddf2ud835uddffud835uddf2 ud835uddd9ud835uddeeud835uddffud835uddfaud835uddf2ud835uddffud835ude00 ud835udde1ud835uddfcud835ude01 ud835udde7u00e9ud835uddffud835uddffu00f3ud835uddffud835uddf6ud835ude00ud835ude01nstophateagainstfarmers nrakeshtikaitbku lambaalka sushant_says httpstcomadlyvroku,34,522,11,2,0,0,-0.3333333333333333,Negative
39,01/05/2020 02:45,1.38e+18,deserve respect hate! nnstophateagainstfarmersnfarmersprotest,6,78,1,0,0,0,-1.0,Negative
40,02/05/2020 02:45,1.38e+18,everything provide family grow food family donu2019t think deserve respect donu2019t deserve decent living canu2019t ask govt repeal farm bills! httpstcoshhcjgzfxc,46,318,20,2,0,0,0.20833333333333331,Positive
41,03/05/2020 02:45,1.38e+18,govt problem peacefully protesting want elected official job listening repeal farm bill instead govt spreading hate why! httpstcoml5mrtdwht,43,291,16,2,0,0,-0.375,Negative
42,04/05/2020 02:46,1.38e+18,kindness possible method dealing living creature httpstcotebvm26kpf,15,136,4,2,0,0,0.0,Neutral
43,05/05/2020 02:46,1.38e+18,want government stop spreading hatred repeal antifarmer law soon possible repeal black farm law nstomar httpstcob2wqdcq7hj !,29,216,6,2,0,1,-0.10416666666666666,Negative
44,06/05/2020 02:47,1.38e+18,instead listening want govt trying everything suppress voice govt trying hide! u0938u0930u0915u093eu0930_msp_u0915u0947u0902u0926u094du0930_u0916u094bu0932u094b desh_ka_gaddar_rss gobackmodi httpstcobdkdkj0qyo!,34,348,12,5,0,0,0.0,Neutral
45,07/05/2020 02:47,1.38e+18,prabhjo45866124 cute small learning passion determination doesnt age strength nu263anstophateagainstfarmers,20,165,6,1,0,0,0.125,Positive
46,08/05/2020 02:47,1.38e+18,hate hate nif love love you! nnstophateagainstfarmers,16,107,3,0,0,2,-0.11875000000000002,Negative
47,09/05/2020 02:48,1.38e+18,addition respecting humbly request everyone supporting respect disagreement letu2019s try show integrity nnstophateagainstfarmers httpstcoi8dcrvawtz,29,234,9,1,0,1,0.024999999999999994,Positive
